,name,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
196,Berdyansk,Valid,OC,2.25,Found,1843.0,46.75,36.81667,"(46.750000, 36.816670)"
197,Klein-Wenden,Valid,OC,3.25,Fell,1843.0,51.6,10.8,"(51.600000, 10.800000)"
198,Verkhne Tschirskaia,Valid,OC,8.0,Fell,1843.0,48.41667,43.2,"(48.416670, 43.200000)"
199,Bishopville,Valid,AA,6.0,Fell,1843.0,34.16667,-80.28333,"(34.166670, -80.283330)"
200,Cosina,Valid,OC,1.2,Fell,1844.0,21.16667,-100.86667,"(21.166670, -100.866670)"
201,Killeter,Valid,OC,0.14,Fell,1844.0,54.66667,-7.66667,"(54.666670, -7.666670)"
202,Favars,Valid,OC,1.5,Fell,1844.0,44.38333,2.81667,"(44.383330, 2.816670)"
203,Ruff's Mountain,Valid,MIM,53.07,Found,1844.0,34.3,-81.4,"(34.300000, -81.400000)"
204,Le Pressoir,Valid,OC,3.0,Fell,1845.0,47.16667,0.43333,"(47.166670, 0.433330)"
205,Barratta,Valid,OC,200.0,Found,1845.0,-35.3,144.56667,"(-35.300000, 144.566670)"
206,Le Teilleul,Valid,AA,0.78,Fell,1845.0,48.53333,-0.86667,"(48.533330, -0.866670)"
207,Jackson County,Valid,MIM,0.45,Found,1846.0,36.41667,-85.5,"(36.416670, -85.500000)"
208,Netschaëvo,Valid,NMIM,250.0,Found,1846.0,54.23333,35.15,"(54.233330, 35.150000)"
209,Cape Girardeau,Valid,OC,2.3,Fell,1846.0,37.26667,-89.58333,"(37.266670, -89.583330)"
210,Deep Springs,Valid,UN,11.5,Found,1846.0,36.5,-79.75,"(36.500000, -79.750000)"
211,Assam,Valid,OC,2.7,Found,1846.0,26.0,92.0,"(26.000000, 92.000000)"
212,Monte Milone,Valid,OC,3.13,Fell,1846.0,43.26667,13.35,"(43.266670, 13.350000)"
213,Schönenberg,Valid,OC,8.0,Fell,1846.0,48.11667,10.46667,"(48.116670, 10.466670)"
214,Braunau,Valid,MIM,39.0,Fell,1847.0,50.6,16.3,"(50.600000, 16.300000)"
215,Marion (Iowa),Valid,OC,28.4,Fell,1847.0,41.9,-91.6,"(41.900000, -91.600000)"
216,Murfreesboro,Valid,UN,8.6,Found,1847.0,35.83333,-86.41667,"(35.833330, -86.416670)"
217,Singhur,Valid,P,14.18,Found,1847.0,18.31667,73.91667,"(18.316670, 73.916670)"
218,Seeläsgen,Valid,NMIM,102.0,Found,1847.0,52.26667,15.55,"(52.266670, 15.550000)"
219,Ski,Valid,OC,0.85,Fell,1848.0,59.73333,10.86667,"(59.733330, 10.866670)"
220,Dharwar,Valid,OC,1.8,Fell,1848.0,14.88333,75.6,"(14.883330, 75.600000)"
221,Marmande,Valid,OC,3.0,Fell,1848.0,44.5,0.15,"(44.500000, 0.150000)"
222,Castine,Valid,OC,0.094,Fell,1848.0,44.38333,-68.75,"(44.383330, -68.750000)"
223,Chesterville,Valid,MIM,16.5,Found,1849.0,34.7,-81.2,"(34.700000, -81.200000)"
224,Fukue,Valid,UN,0.0073,Found,1849.0,32.7,128.85,"(32.700000, 128.850000)"
225,Monroe,Valid,OC,8.6,Fell,1849.0,35.25,-80.5,"(35.250000, -80.500000)"
226,Seneca Falls,Valid,MIM,4.0,Found,1850.0,42.91667,-76.78333,"(42.916670, -76.783330)"
227,Salt River,Valid,MIM,3.6,Found,1850.0,37.95,-85.78333,"(37.950000, -85.783330)"
228,Schwetz,Valid,MIM,21.5,Found,1850.0,53.4,18.45,"(53.400000, 18.450000)"
229,Pittsburg,Valid,NMIM,0.6,Found,1850.0,40.43333,-80.0,"(40.433330, -80.000000)"
230,Tucson,Valid,UN,975.0,Found,1850.0,31.85,-110.96667,"(31.850000, -110.966670)"
231,Botetourt County,Valid,UN,0.5,Found,1850.0,37.5,-79.75,"(37.500000, -79.750000)"
232,Kesen,Valid,OC,135.0,Fell,1850.0,38.98333,141.61667,"(38.983330, 141.616670)"
233,Shalka,Valid,AA,4.0,Fell,1850.0,23.1,87.3,"(23.100000, 87.300000)"
234,Gütersloh,Valid,OC,1.0,Fell,1851.0,51.91667,8.38333,"(51.916670, 8.383330)"
235,Nulles,Valid,OC,5.0,Fell,1851.0,41.63333,0.75,"(41.633330, 0.750000)"
236,Quincay,Valid,OC,0.065,Fell,1851.0,46.6,0.25,"(46.600000, 0.250000)"
237,Bustee,Valid,AA,1.5,Fell,1852.0,26.78333,82.83333,"(26.783330, 82.833330)"
238,Borkut,Valid,OC,7.0,Fell,1852.0,48.15,24.28333,"(48.150000, 24.283330)"
239,Cranberry Plains,Valid,MIM,0.09,Found,1852.0,37.23333,-80.73333,"(37.233330, -80.733330)"
240,Mainz,Valid,OC,1.7,Found,1852.0,50.0,8.26667,"(50.000000, 8.266670)"
241,Yatoor,Valid,OC,13.6,Fell,1852.0,14.3,79.76667,"(14.300000, 79.766670)"
242,Chupaderos,Valid,MIM,24300.0,Found,1852.0,27.0,-105.1,"(27.000000, -105.100000)"
