,GeoLocation
264,"(-28.083330, -69.333330)"
265,"(53.400000, 9.100000)"
266,"(27.433330, 82.083330)"
267,"(51.050000, 3.750000)"
268,"(44.350000, -100.383330)"
269,"(37.750000, -85.500000)"
270,"(45.466670, 10.000000)"
271,"(33.000000, -97.000000)"
272,"(52.283330, 8.916670)"
273,"(43.400000, -5.866670)"
274,"(17.766670, 95.183330)"
275,"(36.550000, -93.100000)"
276,"(33.333330, -84.100000)"
277,"(48.350000, 3.250000)"
278,"(34.500000, -82.033330)"
279,"(10.000000, -84.100000)"
280,"(47.350000, 21.300000)"
281,"(45.050000, 41.983330)"
282,"(9.233330, 78.350000)"
283,"(46.066670, 23.583330)"
284,"(43.083330, 0.583330)"
285,"(38.166670, -79.083330)"
286,"(43.366670, -88.133330)"
287,"(51.833330, 26.833330)"
288,"(45.133330, 21.666670)"
289,"(38.116670, -1.166670)"
290,"(-24.000000, -69.000000)"
291,"(40.766670, -81.950000)"
292,"(32.233330, -88.200000)"
293,"(43.216670, -0.233330)"
294,"(38.250000, -86.166670)"
295,"(42.533330, -73.833330)"
296,"(15.083330, 120.700000)"
297,"(29.683330, 78.383330)"
298,"(36.433330, -87.000000)"
299,"(34.883330, -84.783330)"
300,"(40.000000, -81.766670)"
301,"(-31.700000, 23.750000)"
302,"(47.366670, 1.733330)"
303,"(37.000000, -88.250000)"
304,"(26.950000, 77.883330)"
305,"(38.400000, -85.366670)"
306,"(44.883330, 8.750000)"
307,"(32.233330, 76.466670)"
308,"(-27.000000, -70.000000)"
309,"(27.083330, 84.083330)"
310,"(29.016670, 77.800000)"
311,"(-25.750000, -70.500000)"
312,"(43.666670, 45.383330)"
313,"(41.250000, 1.666670)"
314,"(37.416670, -6.000000)"
315,"(40.483330, -86.366670)"
316,"(53.183330, 13.150000)"
317,"(50.783330, 4.766670)"
318,"(21.499720, 50.472220)"
319,"(37.750000, -90.500000)"
320,"(-27.300000, -70.400000)"
321,"(42.883330, -73.600000)"
322,"(58.666670, 25.733330)"
323,"(26.200000, -107.833330)"
324,"(24.333330, 90.166670)"
325,"(46.450000, 25.783330)"
326,"(23.050000, 86.700000)"
327,"(36.416670, -80.000000)"
328,"(52.266670, 9.100000)"
329,"(39.800000, -105.500000)"
330,"(23.366670, 75.183330)"
331,"(-41.316670, 175.133330)"
332,"(27.716670, -0.250000)"
333,"(43.883330, 1.383330)"
334,"(50.750000, 25.300000)"
335,"(56.500000, 21.500000)"
336,"(26.716670, 84.216670)"
337,"(36.916670, 3.916670)"
338,"(24.550000, 84.833330)"
339,"(36.166670, 3.666670)"
340,"(24.233330, 89.050000)"
341,"(52.550000, -8.033330)"
342,"(43.500000, -91.166670)"
343,"(12.633330, 77.016670)"
344,"(18.750000, 75.333330)"
345,"(13.483330, 74.783330)"
346,"(43.383330, -5.150000)"
347,"(48.450000, 3.933330)"
348,"(-26.000000, -69.250000)"
349,"(48.900000, 22.400000)"
350,"(35.166670, 135.333330)"
351,"(39.616670, -85.450000)"
352,"(-33.500000, -70.500000)"
353,"(39.600000, -105.300000)"
354,"(38.200000, -84.833330)"
355,"(26.716670, 82.666670)"
356,"(36.766670, -86.166670)"
357,"(36.183330, 5.416670)"
358,"(28.016670, 75.816670)"
359,"(30.400000, -107.800000)"
360,"(24.500000, -104.800000)"
361,"(32.633330, -85.500000)"
362,"(-37.570830, 143.825330)"
363,"(38.400000, 140.350000)"
364,"(29.533330, 71.800000)"
365,"(26.166670, 90.600000)"
366,"(47.116670, 6.150000)"
367,"(36.933330, -87.400000)"
368,"(-34.783330, 144.666670)"
369,"(45.683330, 15.600000)"
370,"(34.483330, -87.833330)"
371,"(26.833330, 77.333330)"
372,"(45.200000, 8.500000)"
373,"(23.483330, -104.366670)"
374,"(11.583330, 104.916670)"
375,"(43.150000, -0.850000)"
376,"(52.766670, 21.266670)"
377,"(34.400000, -87.066670)"
378,"(34.250000, -84.500000)"
379,"(-28.200000, 24.566670)"
380,"(48.116670, -3.083330)"
381,"(-45.283330, -70.483330)"
382,"(32.033330, -84.766670)"
383,"(49.326940, 7.464720)"
384,"(59.850000, 17.666670)"
385,"(-22.966670, -44.316670)"
386,"(-7.083330, 111.533330)"
387,"(41.283330, -73.816670)"
388,"(53.000000, -112.000000)"
389,"(38.666670, -120.933330)"
390,"(38.216670, -79.050000)"
391,"(40.916670, -111.666670)"
392,"(39.116670, -84.500000)"
393,"(-26.000000, -70.000000)"
394,"(18.683330, 83.483330)"
395,"(52.283330, 7.700000)"
396,"(33.183330, -96.716670)"
397,"(37.983330, -1.166670)"
398,"(-20.183330, -69.733330)"
399,"(44.366670, -69.200000)"
400,"(22.000000, -80.000000)"
401,"(-6.916670, 107.600000)"
402,"(49.316670, 31.516670)"
403,"(44.283330, 5.583330)"
404,"(42.300000, 0.550000)"
405,"(26.250000, 82.000000)"
406,"(50.966670, 13.950000)"
407,"(42.133330, 12.933330)"
408,"(58.033330, 26.950000)"
409,"(47.700000, 1.066670)"
410,"(19.216670, -98.300000)"
411,"(29.533330, 72.300000)"
412,"(36.233330, 37.133330)"
413,"(31.300000, 72.383330)"
414,
415,"(35.850000, -82.700000)"
416,"(58.616670, 98.933330)"
417,"(43.533330, 22.633330)"
418,"(39.333330, -98.166670)"
419,"(-29.200000, -51.866670)"
420,"(33.500000, -85.666670)"
421,"(36.083330, -78.066670)"
422,"(48.400000, -3.300000)"
423,"(38.300000, -94.366670)"
424,"(-25.000000, -69.500000)"
425,"(50.616670, 36.600000)"
426,"(-34.966670, 148.125000)"
427,"(36.883330, 8.450000)"
428,"(35.750000, -81.250000)"
429,"(41.800000, -91.866670)"
430,"(-23.000000, -69.000000)"
431,"(44.600000, 5.133330)"
432,"(-26.216670, -48.600000)"
433,"(40.900000, -123.100000)"
434,"(-32.450000, 135.550000)"
435,"(-23.100000, -70.500000)"
436,"(46.933330, 21.500000)"
437,"(-24.550000, -69.066670)"
438,"(26.983330, 78.216670)"
439,"(20.916670, 82.583330)"
440,"(52.766670, -2.516670)"
441,"(59.933330, 14.950000)"
442,"(12.850000, 76.800000)"
443,"(48.633330, 34.366670)"
444,"(59.983330, 117.583330)"
445,"(-23.450000, -70.116670)"
446,"(46.150000, 32.833330)"
447,"(36.300000, -82.883330)"
448,"(41.083330, -86.283330)"
449,"(38.683330, -91.150000)"
450,"(47.283330, 11.416670)"
451,"(37.250000, -85.000000)"
452,"(20.883330, 74.833330)"
453,"(43.666670, 21.866670)"
454,"(50.300000, 8.916670)"
455,"(38.400000, -84.250000)"
456,"(-27.700000, 27.300000)"
457,"(55.700000, 24.400000)"
458,"(20.666670, -101.283330)"
459,"(49.600000, 17.116670)"
460,"(55.050000, 12.066670)"
461,"(29.878610, -96.872220)"
462,"(26.800000, 82.533330)"
463,"(-34.666670, -59.366670)"
464,"(52.983330, 37.033330)"
465,"(26.916670, 83.966670)"
466,"(40.750000, -97.500000)"
467,"(50.666670, 16.766670)"
468,"(-3.400000, -44.333330)"
469,"(-46.316670, 168.400000)"
470,"(-32.366670, -59.833330)"
471,"(20.166670, -105.216670)"
472,"(43.416670, -94.833330)"
473,"(47.083330, 1.750000)"
474,"(48.000000, -97.933330)"
475,"(35.666670, -80.250000)"
476,"(17.833330, 73.983330)"
477,"(-27.666670, -67.116670)"
478,"(34.800000, -84.983330)"
479,"(-25.733330, 142.950000)"
480,"(39.650000, -99.683330)"
481,"(52.200000, 17.983330)"
482,"(-34.100000, 18.466670)"
483,"(-32.500000, 23.000000)"
484,"(35.383330, 134.900000)"
485,"(42.833330, 127.500000)"
486,"(35.333330, -115.316670)"
487,"(37.833330, -80.316670)"
488,"(35.300000, -81.733330)"
489,"(34.000000, -81.250000)"
490,"(38.616670, -84.966670)"
491,"(50.775000, 6.083330)"
492,"(35.333330, 51.633330)"
493,"(26.583330, 85.566670)"
494,"(14.500000, 76.500000)"
495,"(-29.883330, 150.566670)"
496,"(21.050000, -99.300000)"
497,"(38.700000, -96.100000)"
498,"(59.333330, -136.000000)"
499,"(36.833330, -105.233330)"
500,"(-25.700000, 143.050000)"
501,"(46.350000, 30.583330)"
502,
503,"(-32.866670, 18.716670)"
504,"(-28.500000, 27.000000)"
505,"(54.566670, -1.166670)"
506,"(46.800000, 24.033330)"
507,"(-23.433330, -69.500000)"
508,"(24.116670, -104.300000)"
509,"(37.582500, -99.163610)"
510,"(33.183330, 130.200000)"
511,"(35.866670, -81.916670)"
512,"(-33.316670, 19.616670)"
513,"(52.033330, 43.000000)"
514,"(25.800000, 88.450000)"
515,"(36.900000, 30.683330)"
516,"(42.966670, -85.766670)"
